,name_en,name_sa,Nose_CenterShoulders_CenterHips,LeftHip_LeftShoulder_LeftElbow,RightHip_RightShoulder_RightElbow,LeftShoulder_LeftElbow_LeftWrist,RightShoulder_RightElbow_RightWrist,LeftShoulder_CenterShoulders_Nose,RightShoulder_CenterShoulders_Nose,LeftIndex1_LeftWrist_LeftElbow,RightIndex1_RightWrist_RightElbow,LeftShoulder_LeftHip_LeftKnee,RightShoulder_RightHip_RightKnee,LeftHip_LeftKnee_LeftAnkle,RightHip_RightKnee_RightAnkle,LeftKnee_LeftAnkle_LeftFootIndex,RightKnee_RightAnkle_RightFootIndex,LeftElbow_CenterShoulders_RightElbow,LeftKnee_CenterHips_RightKnee
0,Downward-facing Dog,Adho mukha svanasana,142.967718796389,119.11713203986034,164.50457492847735,96.51088868646956,142.5128476540785,100.78660874705022,79.21339125294979,163.5508086741753,127.2773914593761,70.30118526951661,78.76055831085836,162.33005532600495,170.65806093330588,89.57104207809206,90.42606929039493,125.485441111933,52.268853969661315
1,Downward-facing Dog,Adho mukha svanasana,141.87378839032291,133.73763876054207,156.14864761524,86.19341222505342,126.05642296714515,102.05924644599028,77.94075355400973,166.99772198698412,121.21001563271408,64.54804672326591,72.27134019053734,162.4582916101416,171.4470519072655,88.587455042188,87.456585679697,127.10549270075911,54.870945218773784
2,Downward-facing Dog,Adho mukha svanasana,132.6960544992273,110.41109669927624,159.309037300948,97.229854609907,148.4860795891532,101.02711115688192,78.97288884311808,152.0850438793269,129.64854360398647,70.84854800541834,59.78439968830615,165.1665931143477,166.56818230697098,97.79791270113304,109.39893933019388,133.67053415865746,82.55434514448943
3,Downward-facing Dog,Adho mukha svanasana,138.1834589900116,140.24894970152536,148.99640915937843,89.58234639782478,135.86154949423081,98.94918082430047,81.05081917569953,164.66551500402025,126.22893617055172,53.86249530003693,60.517426261241084,162.24295620422285,171.83895176951032,92.3189589101501,92.66263486378969,127.27386930991229,57.09255675007617
4,Downward-facing Dog,Adho mukha svanasana,130.77956372506824,127.40219629703243,163.23119275314622,87.91160129719205,136.8483597374247,103.78159655335728,76.21840344664274,165.98915705564625,119.90836000468244,64.52599235263116,66.85735116399484,145.63948719961206,170.0288140010969,88.38386327490217,90.65289141753834,123.35626325408649,65.00527107071456
5,Downward-facing Dog,Adho mukha svanasana,131.1257025046643,150.91784674719094,152.03441336903316,94.63958699524879,134.6096354436793,90.46087313300185,89.53912686699816,169.77938116777477,112.29115693645385,50.99729408815434,51.20355576515463,155.18007408083236,145.51536857236974,85.18989991906177,82.74189071034405,122.29019352848802,55.932259133130174
6,Downward-facing Dog,Adho mukha svanasana,154.2635335383539,137.28240490373253,158.0231023775138,94.10002222356002,138.3160406868095,101.28081874713949,78.71918125286052,167.6561451093714,126.43689265705598,52.98248583703948,62.88274094995629,152.03952275367436,160.25129473833334,86.55832310366378,86.85345754158078,123.94440155123664,51.76601582142576
7,Downward-facing Dog,Adho mukha svanasana,147.631820095318,126.76499503427489,157.9874801267865,93.19034964461386,146.31266252452426,150.8012796632483,29.19872033675171,158.0490425618332,113.20351185085082,68.53366684931927,71.84727510408932,152.64934748179385,163.98276804625363,94.14092654606841,91.86400859884021,125.15898653486565,67.07497923322401
8,Downward-facing Dog,Adho mukha svanasana,153.81170367576107,150.68090613675943,146.1372801033771,116.54298825248937,140.1846267689642,91.1444185544911,88.85558144550889,156.86515500076996,115.7465556880075,50.42805501345034,56.08405174188036,156.00070011047225,149.92373560200852,88.40765300480483,90.88841943037855,123.43036765911945,57.94894624732323
9,Downward-facing Dog,Adho mukha svanasana,161.39224575362218,130.97080165278413,162.06632442403776,94.85139252515575,145.86962161960136,99.23750794030772,80.76249205969229,165.11488317637432,123.45648916316311,54.71903667404554,54.49505486417625,159.81488460718282,165.88754354398674,86.59991904843123,90.31424105405152,126.8296008781429,60.48670039864595
